feature,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,pct_zeros,pct_unique
Header_Length,4429940.0,15.049940440286312,10.322394734993999,0.0,7.92,19.88,20.0,60.0,0.2114560093375824,-0.33071048187442953,10.26031955286076,0.0821681557763762
Protocol Type,4429940.0,11.716547176711197,12.150607961788818,0.0,6.0,6.0,17.0,47.0,2.0849302671622025,3.455402109947793,0.20151514467464568,0.0001354420150160047
Time_To_Live,4429940.0,73.63256740367387,27.80149569487602,0.0,64.0,64.0,65.91,255.0,3.6038842088854874,14.59392987007318,0.008058799893452283,0.3368668650139731
Rate,4429940.0,18820.442114836762,44116.64025211347,1.5215139938396854e-05,1088.2339663175264,6511.276701440636,25833.357969943336,10485760.0,15.085720021848086,1090.2459971730477,0.0,16.838128733120538
fin_flag_number,4429940.0,0.05149216666616119,0.20787479181676521,0.0,0.0,0.0,0.0,1.0,4.2453339962111585,16.343798347395357,87.31445572626266,0.006817248089138904
syn_flag_number,4429940.0,0.1615371144245788,0.3458798158317989,0.0,0.0,0.0,0.02,1.0,1.8925653364319963,1.7283558115210194,69.46471058298758,0.011557718614699071
rst_flag_number,4429940.0,0.06726275096735912,0.22930291528901747,0.0,0.0,0.0,0.0,1.0,3.5295674825330647,11.03122944042786,87.16355074786566,0.010564477171248369
psh_flag_number,4429940.0,0.09238472840482213,0.22718037515692935,0.0,0.0,0.0,0.02,1.0,3.020111130441445,8.562510790471215,69.7267457347052,0.012957286103197787
ack_flag_number,4429940.0,0.25304375924273054,0.37325380944027775,0.0,0.0,0.0,0.5,1.0,1.0747970521800683,-0.5166692923352549,52.183393003065504,0.022663963846011458
ece_flag_number,4429940.0,0.00012987041493560918,0.004975082275757578,0.0,0.0,0.0,0.0,1.0,75.35349018098523,8738.603616816752,99.78728831541737,0.0010609624509587037
cwr_flag_number,4429940.0,7.566418537957494e-05,0.0036270206955588947,0.0,0.0,0.0,0.0,1.0,106.25700714220206,19036.71176415254,99.88494200824391,0.0006772100750800236
ack_count,4429940.0,10.784615367251023,24.740101051269498,0.0,0.0,0.0,7.0,100.0,2.728545094908563,6.299523901960251,52.183393003065504,0.0022799405861027465
