sample_key,run_label,vae_run_tag,model,model_tag,attack,rank_in_combo,sample_id,source_class,true_label,pred_before,pred_after,target_class,target_success,protocol_valid,mask_valid,raw_g1g8_valid,joint_valid,selected_restart,input_l2_scaled,latent_l2,top_feature_changes,feature_index,feature,original_raw,adversarial_raw,delta_raw,original_scaled,adversarial_scaled,delta_scaled
gaussian|dualpath|targeted_benign|1|1077,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,DualPath,dualpath,targeted-benign-latent-pgd,1,1077,Spoofing,Spoofing,Spoofing,Benign,Benign,True,True,True,True,True,0,1.3795643770630581,1.9467922421189812,`IAT` 0.00096856; `Min` -4.20552; `Variance` 14813.9; `Header_Length` -3.37359; `AVG` 115.003,0,Header_Length,31.99999930356512,28.62640700538327,-3.3735922981818476,1.003311276435852,0.7240403890609741,-0.27927088737487793
gaussian|dualpath|targeted_benign|1|1077,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,DualPath,dualpath,targeted-benign-latent-pgd,1,1077,Spoofing,Spoofing,Spoofing,Benign,Benign,True,True,True,True,True,0,1.3795643770630581,1.9467922421189812,`IAT` 0.00096856; `Min` -4.20552; `Variance` 14813.9; `Header_Length` -3.37359; `AVG` 115.003,1,Protocol Type,6.0,6.0,0.0,0.0,0.0,0.0
gaussian|dualpath|targeted_benign|1|1077,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,DualPath,dualpath,targeted-benign-latent-pgd,1,1077,Spoofing,Spoofing,Spoofing,Benign,Benign,True,True,True,True,True,0,1.3795643770630581,1.9467922421189812,`IAT` 0.00096856; `Min` -4.20552; `Variance` 14813.9; `Header_Length` -3.37359; `AVG` 115.003,2,Time_To_Live,60.7999991824654,60.7999991824654,0.0,-1.6753898859024048,-1.6753898859024048,0.0
gaussian|dualpath|targeted_benign|1|1077,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,DualPath,dualpath,targeted-benign-latent-pgd,1,1077,Spoofing,Spoofing,Spoofing,Benign,Benign,True,True,True,True,True,0,1.3795643770630581,1.9467922421189812,`IAT` 0.00096856; `Min` -4.20552; `Variance` 14813.9; `Header_Length` -3.37359; `AVG` 115.003,3,Rate,1373.0659936749298,640.5865088498767,-732.4794848250531,-0.20755596458911896,-0.23714883625507355,-0.02959287166595459
gaussian|dualpath|targeted_benign|1|1077,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,DualPath,dualpath,targeted-benign-latent-pgd,1,1077,Spoofing,Spoofing,Spoofing,Benign,Benign,True,True,True,True,True,0,1.3795643770630581,1.9467922421189812,`IAT` 0.00096856; `Min` -4.20552; `Variance` 14813.9; `Header_Length` -3.37359; `AVG` 115.003,4,fin_flag_number,0.0,0.0,0.0,0.0,0.0,0.0
gaussian|dualpath|targeted_benign|1|1077,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,DualPath,dualpath,targeted-benign-latent-pgd,1,1077,Spoofing,Spoofing,Spoofing,Benign,Benign,True,True,True,True,True,0,1.3795643770630581,1.9467922421189812,`IAT` 0.00096856; `Min` -4.20552; `Variance` 14813.9; `Header_Length` -3.37359; `AVG` 115.003,5,syn_flag_number,0.0,0.0,0.0,0.0,0.0,0.0
gaussian|dualpath|targeted_benign|1|1077,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,DualPath,dualpath,targeted-benign-latent-pgd,1,1077,Spoofing,Spoofing,Spoofing,Benign,Benign,True,True,True,True,True,0,1.3795643770630581,1.9467922421189812,`IAT` 0.00096856; `Min` -4.20552; `Variance` 14813.9; `Header_Length` -3.37359; `AVG` 115.003,6,rst_flag_number,0.0,0.0,0.0,0.0,0.0,0.0
gaussian|dualpath|targeted_benign|1|1077,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,DualPath,dualpath,targeted-benign-latent-pgd,1,1077,Spoofing,Spoofing,Spoofing,Benign,Benign,True,True,True,True,True,0,1.3795643770630581,1.9467922421189812,`IAT` 0.00096856; `Min` -4.20552; `Variance` 14813.9; `Header_Length` -3.37359; `AVG` 115.003,7,psh_flag_number,0.0,0.0,0.0,0.0,0.0,0.0
gaussian|dualpath|targeted_benign|1|1077,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,DualPath,dualpath,targeted-benign-latent-pgd,1,1077,Spoofing,Spoofing,Spoofing,Benign,Benign,True,True,True,True,True,0,1.3795643770630581,1.9467922421189812,`IAT` 0.00096856; `Min` -4.20552; `Variance` 14813.9; `Header_Length` -3.37359; `AVG` 115.003,8,ack_flag_number,1.0,0.9969154596328735,-0.003084540367126465,1.0,0.9969154596328735,-0.003084540367126465
gaussian|dualpath|targeted_benign|1|1077,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,DualPath,dualpath,targeted-benign-latent-pgd,1,1077,Spoofing,Spoofing,Spoofing,Benign,Benign,True,True,True,True,True,0,1.3795643770630581,1.9467922421189812,`IAT` 0.00096856; `Min` -4.20552; `Variance` 14813.9; `Header_Length` -3.37359; `AVG` 115.003,9,ece_flag_number,0.0,0.0,0.0,0.0,0.0,0.0
gaussian|dualpath|targeted_benign|1|1077,gaussian,gaussian_anticollapse_beta05_freebits01_20260529_173512,DualPath,dualpath,targeted-benign-latent-pgd,1,1077,Spoofing,Spoofing,Spoofing,Benign,Benign,True,True,True,True,True,0,1.3795643770630581,1.9467922421189812,`IAT` 0.00096856; `Min` -4.20552; `Variance` 14813.9; `Header_Length` -3.37359; `AVG` 115.003,10,cwr_flag_number,0.0,0.0,0.0,0.0,0.0,0.0
