example_rank,sample_index,clean_prediction,adv_prediction,feature,clean_value,adv_value,delta,violates_rule,violated_rules,violation_description
1,0,8,10,ARP,0.0,-0.075,-0.075,True,R_binary_ARP,ARP must be binary (0/1); got -0.0750
1,0,8,10,DHCP,0.0,0.3,0.3,True,R_binary_DHCP,DHCP must be binary (0/1); got 0.3000
1,0,8,10,DNS,0.0,0.3,0.3,True,R_binary_DNS,DNS must be binary (0/1); got 0.3000
1,0,8,10,HTTP,0.0,0.3,0.3,True,R_binary_HTTP,HTTP must be binary (0/1); got 0.3000
1,0,8,10,HTTPS,0.0,-0.3,-0.3,True,R_binary_HTTPS,HTTPS must be binary (0/1); got -0.3000
1,0,8,10,ICMP,0.0,-0.3,-0.3,True,R_binary_ICMP,ICMP must be binary (0/1); got -0.3000
1,0,8,10,IGMP,0.0,-0.3,-0.3,True,R_binary_IGMP,IGMP must be binary (0/1); got -0.3000
1,0,8,10,IPv,1.0,1.075,0.075,True,R_binary_IPv,IPv must be binary (0/1); got 1.0750
1,0,8,10,IRC,0.0,-0.3,-0.3,True,R_binary_IRC,IRC must be binary (0/1); got -0.3000
1,0,8,10,LLC,1.0,0.7,-0.3,True,R_binary_LLC,LLC must be binary (0/1); got 0.7000
1,0,8,10,Protocol Type,6.0,7.65,1.65,True,R_protocol_valid; R_proto_tcp,"Protocol Type must map to allowed values {0,1,2,6,17,47}; got 7.6500 | TCP indicator implies Protocol Type should be 6"
1,0,8,10,SMTP,0.0,-0.3,-0.3,True,R_binary_SMTP,SMTP must be binary (0/1); got -0.3000
1,0,8,10,SSH,0.0,0.3,0.3,True,R_binary_SSH,SSH must be binary (0/1); got 0.3000
1,0,8,10,Std,0.0,-47.3652,-47.3652,True,R_nonneg_Std; R_var_eq_std_sq,"Std must be non-negative; got -47.3652 | Variance should match Std^2 (within tolerance); Std=-47.3652, Variance=-9970.9512"
1,0,8,10,TCP,1.0,1.3,0.3,True,R_binary_TCP; R_proto_tcp,TCP must be binary (0/1); got 1.3000 | TCP indicator implies Protocol Type should be 6
1,0,8,10,UDP,0.0,0.3,0.3,True,R_binary_UDP,UDP must be binary (0/1); got 0.3000
1,0,8,10,Variance,0.0,-9970.9512,-9970.9512,True,R_nonneg_Variance; R_var_eq_std_sq,"Variance must be non-negative; got -9970.9512 | Variance should match Std^2 (within tolerance); Std=-47.3652, Variance=-9970.9512"
1,0,8,10,cwr_flag_number,0.0,-0.3,-0.3,True,R_nonneg_cwr_flag_number,cwr_flag_number must be non-negative; got -0.3000
1,0,8,10,ece_flag_number,0.0,-0.3,-0.3,True,R_nonneg_ece_flag_number,ece_flag_number must be non-negative; got -0.3000
1,0,8,10,fin_flag_number,0.0,-0.3,-0.3,True,R_nonneg_fin_flag_number,fin_flag_number must be non-negative; got -0.3000
1,0,8,10,rst_flag_number,0.0,-0.3,-0.3,True,R_nonneg_rst_flag_number,rst_flag_number must be non-negative; got -0.3000
1,0,8,10,syn_flag_number,0.0,-0.3,-0.3,True,R_nonneg_syn_flag_number,syn_flag_number must be non-negative; got -0.3000
1,0,8,10,AVG,60.0,215.4,155.4,False,,
1,0,8,10,Header_Length,20.0,23.624,3.624,False,,
1,0,8,10,Max,60.0,364.2,304.2,False,,
1,0,8,10,Min,60.0,61.8,1.8,False,,
1,0,8,10,Number,100.0,73.0,-27.0,False,,
1,0,8,10,Rate,27049.5547,19623.9863,-7425.5684,False,,
1,0,8,10,Time_To_Live,64.0,63.427,-0.573,False,,
1,0,8,10,Tot size,60.0,215.4,155.4,False,,
1,0,8,10,Tot sum,6000.0,20681.6992,14681.6992,False,,
1,0,8,10,ack_count,100.0,102.1,2.1,False,,
1,0,8,10,ack_flag_number,1.0,0.925,-0.075,False,,
1,0,8,10,fin_count,0.0,0.3,0.3,False,,
1,0,8,10,psh_flag_number,1.0,0.7,-0.3,False,,
1,0,8,10,syn_count,0.0,0.3,0.3,False,,
2,1,22,23,ARP,0.0,-0.3,-0.3,True,R_binary_ARP,ARP must be binary (0/1); got -0.3000
2,1,22,23,AVG,586.78,431.38,-155.4,True,R_avg_in_range,"AVG must lie in [Min, Max]; got Min=68.2000, AVG=431.3800, Max=287.8000"
2,1,22,23,DHCP,0.0,0.3,0.3,True,R_binary_DHCP,DHCP must be binary (0/1); got 0.3000
2,1,22,23,DNS,0.0,-0.3,-0.3,True,R_binary_DNS,DNS must be binary (0/1); got -0.3000
2,1,22,23,HTTP,0.0,-0.3,-0.3,True,R_binary_HTTP,HTTP must be binary (0/1); got -0.3000
2,1,22,23,HTTPS,0.0,-0.3,-0.3,True,R_binary_HTTPS,HTTPS must be binary (0/1); got -0.3000
2,1,22,23,Header_Length,0.0,-3.624,-3.624,True,R_nonneg_Header_Length,Header_Length must be non-negative; got -3.6240
2,1,22,23,ICMP,0.0,-0.1071,-0.1071,True,R_binary_ICMP,ICMP must be binary (0/1); got -0.1071
2,1,22,23,IGMP,0.0,-0.1624,-0.1624,True,R_binary_IGMP,IGMP must be binary (0/1); got -0.1624
2,1,22,23,IPv,1.0,1.3,0.3,True,R_binary_IPv,IPv must be binary (0/1); got 1.3000
2,1,22,23,IRC,0.0,-0.3,-0.3,True,R_binary_IRC,IRC must be binary (0/1); got -0.3000
2,1,22,23,LLC,1.0,1.3,0.3,True,R_binary_LLC,LLC must be binary (0/1); got 1.3000
2,1,22,23,Max,592.0,287.8,-304.2,True,R_avg_in_range,"AVG must lie in [Min, Max]; got Min=68.2000, AVG=431.3800, Max=287.8000"
2,1,22,23,Min,70.0,68.2,-1.8,True,R_avg_in_range,"AVG must lie in [Min, Max]; got Min=68.2000, AVG=431.3800, Max=287.8000"
2,1,22,23,Protocol Type,47.0,50.3,3.3,True,R_protocol_valid,"Protocol Type must map to allowed values {0,1,2,6,17,47}; got 50.3000"
2,1,22,23,SMTP,0.0,-0.2388,-0.2388,True,R_binary_SMTP,SMTP must be binary (0/1); got -0.2388
2,1,22,23,SSH,0.0,-0.0327,-0.0327,True,R_binary_SSH,SSH must be binary (0/1); got -0.0327
2,1,22,23,Std,52.2,-10.9536,-63.1536,True,R_nonneg_Std; R_var_eq_std_sq,"Std must be non-negative; got -10.9536 | Variance should match Std^2 (within tolerance); Std=-10.9536, Variance=-10569.7598"
2,1,22,23,TCP,0.0,-0.3,-0.3,True,R_binary_TCP,TCP must be binary (0/1); got -0.3000
2,1,22,23,Telnet,0.0,-0.3,-0.3,True,R_binary_Telnet,Telnet must be binary (0/1); got -0.3000
2,1,22,23,UDP,0.0,-0.3,-0.3,True,R_binary_UDP,UDP must be binary (0/1); got -0.3000
2,1,22,23,Variance,2724.8401,-10569.7598,-13294.5999,True,R_nonneg_Variance; R_var_eq_std_sq,"Variance must be non-negative; got -10569.7598 | Variance should match Std^2 (within tolerance); Std=-10.9536, Variance=-10569.7598"
2,1,22,23,ack_flag_number,0.0,-0.3,-0.3,True,R_nonneg_ack_flag_number,ack_flag_number must be non-negative; got -0.3000
2,1,22,23,cwr_flag_number,0.0,-0.3,-0.3,True,R_nonneg_cwr_flag_number,cwr_flag_number must be non-negative; got -0.3000
2,1,22,23,ece_flag_number,0.0,-0.3,-0.3,True,R_nonneg_ece_flag_number,ece_flag_number must be non-negative; got -0.3000
2,1,22,23,fin_count,0.0,-0.1544,-0.1544,True,R_nonneg_fin_count,fin_count must be non-negative; got -0.1544
2,1,22,23,rst_count,0.0,-0.3,-0.3,True,R_nonneg_rst_count,rst_count must be non-negative; got -0.3000
2,1,22,23,Number,100.0,127.0,27.0,False,,
2,1,22,23,Rate,11124.5898,3699.0227,-7425.5671,False,,
2,1,22,23,Time_To_Live,65.91,65.337,-0.573,False,,
2,1,22,23,Tot size,586.78,431.38,-155.4,False,,
2,1,22,23,Tot sum,58678.0,43996.3008,-14681.6992,False,,
2,1,22,23,ack_count,0.0,2.1,2.1,False,,
2,1,22,23,fin_flag_number,0.0,0.3,0.3,False,,
2,1,22,23,psh_flag_number,0.0,0.3,0.3,False,,
2,1,22,23,rst_flag_number,0.0,0.3,0.3,False,,
2,1,22,23,syn_count,0.0,0.3,0.3,False,,
2,1,22,23,syn_flag_number,0.0,0.3,0.3,False,,
3,2,21,23,ARP,0.0,0.3,0.3,True,R_binary_ARP,ARP must be binary (0/1); got 0.3000
3,2,21,23,DHCP,0.0,-0.3,-0.3,True,R_binary_DHCP,DHCP must be binary (0/1); got -0.3000
3,2,21,23,DNS,0.0,0.3,0.3,True,R_binary_DNS,DNS must be binary (0/1); got 0.3000
3,2,21,23,HTTP,0.0,-0.3,-0.3,True,R_binary_HTTP,HTTP must be binary (0/1); got -0.3000
3,2,21,23,HTTPS,0.0,0.3,0.3,True,R_binary_HTTPS,HTTPS must be binary (0/1); got 0.3000
3,2,21,23,ICMP,0.0,-0.3,-0.3,True,R_binary_ICMP,ICMP must be binary (0/1); got -0.3000
3,2,21,23,IGMP,0.0,-0.3,-0.3,True,R_binary_IGMP,IGMP must be binary (0/1); got -0.3000
3,2,21,23,IPv,1.0,0.7,-0.3,True,R_binary_IPv,IPv must be binary (0/1); got 0.7000
3,2,21,23,IRC,0.0,-0.3,-0.3,True,R_binary_IRC,IRC must be binary (0/1); got -0.3000
3,2,21,23,LLC,1.0,0.7,-0.3,True,R_binary_LLC,LLC must be binary (0/1); got 0.7000
3,2,21,23,Protocol Type,17.0,20.3,3.3,True,R_protocol_valid; R_proto_udp,"Protocol Type must map to allowed values {0,1,2,6,17,47}; got 20.3000 | UDP indicator implies Protocol Type should be 17"
