attack_config,sample_index,feature_name,original_raw,perturbed_raw,delta_raw,mask_value,violation,true_class,clean_pred,adv_pred
attack_binary_fgsm_0.30,45483,Tot sum,858.0,-13823.701171875,-14681.701171875,1.0,Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,Variance,1028.39990234375,-12266.201171875,-13294.60107421875,1.0,Non-negative constraint violated | Variance mismatch vs Std^2,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,Rate,43.82958984375,-7381.73876953125,-7425.568359375,1.0,Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,Max,123.0,-181.20001220703125,-304.20001220703125,1.0,Non-negative constraint violated | Min > Max,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,AVG,85.80000305175781,-69.59999084472656,-155.39999389648438,1.0,"Non-negative constraint violated | AVG outside [Min, Max]",Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,Tot size,85.80000305175781,-69.59999084472656,-155.39999389648438,1.0,Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,Std,32.06867599487305,-31.084949493408203,-63.15362548828125,1.0,Non-negative constraint violated | Variance mismatch vs Std^2,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,Number,10.0,-16.99999237060547,-26.99999237060547,1.0,Non-negative constraint violated | Packet count must be >= 1,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,Header_Length,21.200000762939453,24.82400131225586,3.6240005493164062,1.0,-,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,Protocol Type,6.0,2.6999998092651367,-3.3000001907348633,0.0,"Protocol clean=6, adv=INVALID (non-integer: 2.7000) | Protocol invalid: non-integer",Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,ack_count,10.0,12.100000381469727,2.1000003814697266,0.30000001192092896,Integer constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,Min,60.0,61.79999923706055,1.7999992370605469,1.0,Min > Max,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,Time_To_Live,208.6999969482422,208.1269989013672,-0.572998046875,0.0,-,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,fin_flag_number,0.0,-0.30000001192092896,-0.30000001192092896,0.30000001192092896,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,syn_flag_number,0.0,-0.30000001192092896,-0.30000001192092896,0.30000001192092896,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,rst_flag_number,0.0,-0.30000001192092896,-0.30000001192092896,0.30000001192092896,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,psh_flag_number,0.0,-0.30000001192092896,-0.30000001192092896,0.30000001192092896,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,ece_flag_number,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,cwr_flag_number,0.0,0.30000001192092896,0.30000001192092896,0.0,Integer constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,syn_count,0.0,-0.30000001192092896,-0.30000001192092896,0.30000001192092896,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,fin_count,0.0,-0.30000001192092896,-0.30000001192092896,0.30000001192092896,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,rst_count,0.0,-0.30000001192092896,-0.30000001192092896,0.30000001192092896,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,HTTP,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,HTTPS,0.0,0.30000001192092896,0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,DNS,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,Telnet,0.0,0.30000001192092896,0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,SMTP,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,SSH,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,IRC,0.0,0.30000001192092896,0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,TCP,1.0,0.699999988079071,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,UDP,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,DHCP,0.0,0.30000001192092896,0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,ARP,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,ICMP,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,IGMP,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,ack_flag_number,1.0,1.2999999523162842,0.2999999523162842,0.30000001192092896,Integer constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,IPv,1.0,1.2999999523162842,0.2999999523162842,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,45483,LLC,1.0,1.2999999523162842,0.2999999523162842,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,43845,Tot sum,1183.0,15864.7001953125,14681.7001953125,1.0,-,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,Variance,3089.788818359375,-10204.8115234375,-13294.600341796875,1.0,Non-negative constraint violated | Variance mismatch vs Std^2,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,Rate,26.08984375,-7399.47802734375,-7425.56787109375,1.0,Non-negative constraint violated,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,Max,230.0,-74.20001220703125,-304.20001220703125,1.0,Non-negative constraint violated | Min > Max,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,AVG,118.30000305175781,-37.099998474121094,-155.4000015258789,1.0,"Non-negative constraint violated | AVG outside [Min, Max]",Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,Tot size,118.30000305175781,-37.099998474121094,-155.4000015258789,1.0,Non-negative constraint violated,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,Std,55.58586883544922,-7.567753791809082,-63.1536226272583,1.0,Non-negative constraint violated | Variance mismatch vs Std^2,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,Number,10.0,37.0,27.0,1.0,-,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,Header_Length,27.200000762939453,23.576000213623047,-3.6240005493164062,1.0,-,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,Protocol Type,6.0,9.300000190734863,3.3000001907348633,0.0,"Protocol clean=6, adv=INVALID (non-integer: 9.3000) | Protocol invalid: non-integer",Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,ack_count,8.0,5.900000095367432,-2.0999999046325684,0.30000001192092896,Integer constraint violated,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,Min,66.0,64.19999694824219,-1.8000030517578125,1.0,Min > Max,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,Time_To_Live,97.30000305175781,97.87300109863281,0.572998046875,0.0,-,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,fin_flag_number,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,Integer constraint violated,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,syn_flag_number,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,Integer constraint violated,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,rst_flag_number,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,Integer constraint violated,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,psh_flag_number,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,Integer constraint violated,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,ece_flag_number,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Integer constraint violated | Non-negative constraint violated,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,cwr_flag_number,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Integer constraint violated | Non-negative constraint violated,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,syn_count,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,Integer constraint violated,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,fin_count,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,Integer constraint violated,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,rst_count,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,Integer constraint violated,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,HTTP,0.0,0.30000001192092896,0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,HTTPS,1.0,0.699999988079071,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,DNS,0.0,0.30000001192092896,0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,Telnet,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,SMTP,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,SSH,0.0,0.30000001192092896,0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,IRC,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,UDP,0.0,0.30000001192092896,0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,DHCP,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,ARP,0.0,0.30000001192092896,0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,ICMP,0.0,0.30000001192092896,0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,IGMP,0.0,0.30000001192092896,0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,IPv,1.0,0.699999988079071,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,LLC,1.0,0.699999988079071,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,ack_flag_number,1.0,1.2999999523162842,0.2999999523162842,0.30000001192092896,Integer constraint violated,Benign,Benign,Attack
attack_binary_fgsm_0.30,43845,TCP,1.0,1.2999999523162842,0.2999999523162842,0.0,Binary constraint violated (must be 0/1),Benign,Benign,Attack
attack_binary_fgsm_0.30,538,Tot sum,1112.0,-13569.701171875,-14681.701171875,1.0,Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,Variance,3383.7333984375,-9910.8671875,-13294.6005859375,1.0,Non-negative constraint violated | Variance mismatch vs Std^2,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,Rate,75.6826171875,-7349.88427734375,-7425.56689453125,1.0,Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,Max,230.0,-74.20001220703125,-304.20001220703125,1.0,Non-negative constraint violated | Min > Max,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,AVG,111.19999694824219,-44.20000457763672,-155.4000015258789,1.0,"Non-negative constraint violated | AVG outside [Min, Max]",Attack,Attack,Benign
attack_binary_fgsm_0.30,538,Tot size,111.19999694824219,-44.20000457763672,-155.4000015258789,1.0,Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,Std,58.169864654541016,-4.983757019042969,-63.153621673583984,1.0,Non-negative constraint violated | Variance mismatch vs Std^2,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,Number,10.0,-16.99999237060547,-26.99999237060547,1.0,Non-negative constraint violated | Packet count must be >= 1,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,Header_Length,23.600000381469727,27.224000930786133,3.6240005493164062,1.0,-,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,Protocol Type,6.0,2.6999998092651367,-3.3000001907348633,0.0,"Protocol clean=6, adv=INVALID (non-integer: 2.7000) | Protocol invalid: non-integer",Attack,Attack,Benign
attack_binary_fgsm_0.30,538,ack_count,9.0,6.899999618530273,-2.1000003814697266,0.30000001192092896,Integer constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,Min,60.0,61.79999923706055,1.7999992370605469,1.0,Min > Max,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,Time_To_Live,153.10000610351562,153.67300415039062,0.572998046875,0.0,-,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,fin_flag_number,0.0,-0.30000001192092896,-0.30000001192092896,0.30000001192092896,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,syn_flag_number,0.0,-0.30000001192092896,-0.30000001192092896,0.30000001192092896,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,rst_flag_number,0.0,-0.30000001192092896,-0.30000001192092896,0.30000001192092896,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,psh_flag_number,0.0,-0.30000001192092896,-0.30000001192092896,0.30000001192092896,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,ack_flag_number,1.0,0.699999988079071,-0.30000001192092896,0.30000001192092896,Integer constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,ece_flag_number,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,cwr_flag_number,0.0,0.30000001192092896,0.30000001192092896,0.0,Integer constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,syn_count,0.0,-0.30000001192092896,-0.30000001192092896,0.30000001192092896,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,fin_count,0.0,-0.30000001192092896,-0.30000001192092896,0.30000001192092896,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,rst_count,0.0,-0.30000001192092896,-0.30000001192092896,0.30000001192092896,Integer constraint violated | Non-negative constraint violated,Attack,Attack,Benign
attack_binary_fgsm_0.30,538,HTTP,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,538,HTTPS,0.0,0.30000001192092896,0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,538,DNS,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,538,Telnet,0.0,0.30000001192092896,0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,538,SMTP,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,538,SSH,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
attack_binary_fgsm_0.30,538,IRC,0.0,-0.30000001192092896,-0.30000001192092896,0.0,Binary constraint violated (must be 0/1),Attack,Attack,Benign
